date,text
2024-09-11,"I was underwater, breathing easily, surrounded by dragon."
2024-11-12,I was flying over castle and felt completely excited.
2022-01-22,I was trapped inside a desert and couldn't find my way out.
2024-08-12,I was trapped inside a castle and couldn't find my way out.
2025-02-17,I was flying over ocean and felt completely happy.
2020-12-17,I was trapped inside a castle and couldn't find my way out.
2021-06-17,"I was attending a concert, but nobody recognized me."
2020-10-23,I met a stranger who told me a secret about book.
2022-02-12,I walked into a ocean made entirely of key.
2022-08-26,I walked into a forest made entirely of door.
2025-03-24,I was trapped inside a ocean and couldn't find my way out.
2024-12-27,I met a teacher who told me a secret about door.
2022-09-25,I met a celebrity who told me a secret about key.
2021-01-05,I was trapped inside a city and couldn't find my way out.
2022-10-29,"I was attending a funeral, but nobody recognized me."
2022-03-31,"I was in a school, where time moved excited."
2025-04-22,I found a light that gave me the power to heal.
2020-09-17,"I was speaking with my celebrity, and they turned into a cat."
2022-10-08,I was flying over mountain and felt completely peaceful.
2024-06-05,I met a childhood pet who told me a secret about key.
2024-05-31,"I was speaking with my teacher, and they turned into a fish."
2024-09-20,I found a door that gave me the power to fly.
2023-04-23,I met a childhood pet who told me a secret about mirror.
2025-05-15,I was trapped inside a library and couldn't find my way out.
2021-12-04,I was trapped inside a castle and couldn't find my way out.
2021-12-16,"I was running through a ocean, chased by a dog."
2024-07-02,"I was speaking with my friend, and they turned into a bird."
2025-07-07,"I was speaking with my childhood pet, and they turned into a bird."
2025-08-30,I walked into a castle made entirely of door.
2023-03-21,"I was running through a library, chased by a monster."
2024-09-03,"I was attending a graduation, but nobody recognized me."
2023-05-31,"I was running through a ocean, chased by a bird."
2024-06-30,I walked into a castle made entirely of door.
2023-09-10,"I was running through a forest, chased by a fish."
2021-12-06,"I was attending a wedding, but nobody recognized me."
2024-11-12,"I was speaking with my stranger, and they turned into a fish."
2023-05-07,I was trapped inside a castle and couldn't find my way out.
2020-11-12,I was trapped inside a castle and couldn't find my way out.
2021-10-19,I was trapped inside a library and couldn't find my way out.
2024-03-10,"I was in a desert, where time moved lonely."
2023-06-26,I was trapped inside a city and couldn't find my way out.
2022-05-16,"I was underwater, breathing easily, surrounded by monster."
2024-07-12,I was flying over ocean and felt completely happy.
2024-10-09,I was flying over school and felt completely peaceful.
2025-06-09,I was trapped inside a mountain and couldn't find my way out.
2023-02-21,I was trapped inside a library and couldn't find my way out.
2022-06-26,I walked into a school made entirely of mirror.
2023-09-02,"I was speaking with my teacher, and they turned into a monster."
2023-12-17,I walked into a ocean made entirely of light.
2023-09-11,I was trapped inside a mountain and couldn't find my way out.
2023-12-23,I was flying over school and felt completely afraid.
2023-10-07,I was flying over desert and felt completely confused.
2025-01-12,I found a light that gave me the power to travel through time.
2020-11-08,"I was in a desert, where time moved afraid."
2022-05-06,"I was speaking with my friend, and they turned into a monster."
2025-03-18,I was flying over school and felt completely excited.
2025-01-26,"I was speaking with my celebrity, and they turned into a dog."
2025-01-13,"I was underwater, breathing easily, surrounded by dog."
2023-03-05,"I was attending a birthday party, but nobody recognized me."
2025-07-17,I walked into a ocean made entirely of flower.
2021-05-25,"I was speaking with my teacher, and they turned into a dragon."
2020-09-24,"I was speaking with my stranger, and they turned into a monster."
2023-07-20,I met a stranger who told me a secret about flower.
2021-03-25,"I was underwater, breathing easily, surrounded by bird."
2022-12-26,"I was in a desert, where time moved confused."
2024-08-31,I found a mirror that gave me the power to become invisible.
2024-08-18,I was trapped inside a school and couldn't find my way out.
2023-07-20,"I was in a school, where time moved excited."
2022-08-13,"I was underwater, breathing easily, surrounded by monster."
2024-01-10,I walked into a ocean made entirely of mirror.
2023-08-11,"I was underwater, breathing easily, surrounded by dog."
2022-03-01,I found a door that gave me the power to fly.
